layer,seq_len,BH,D,fp16_bytes,fp32_bytes,tq_bytes,ratio_fp16,ratio_fp32,cos_scores,cos_weights,rel_l2_output,encode_ms,attn_ms_baseline,attn_ms_tq
0,22,8,64,45056,90112,11264,4,8,0.917496,0.940287,0.626388,1.29391,0.004687,0.036406
1,22,8,64,45056,90112,11264,4,8,0.909087,0.930492,0.622294,1.14385,0.004479,0.034167
2,22,8,64,45056,90112,11264,4,8,0.926298,0.933367,0.530045,1.15286,0.004479,0.034271
3,22,8,64,45056,90112,11264,4,8,0.931529,0.953357,0.558362,1.14328,0.004479,0.034219
4,22,8,64,45056,90112,11264,4,8,0.904098,0.935529,0.553382,1.14271,0.004479,0.034167
5,22,8,64,45056,90112,11264,4,8,0.910529,0.955461,0.48781,1.18135,0.004479,0.034323
6,22,8,64,45056,90112,11264,4,8,0.933273,0.95553,0.508745,1.14266,0.004479,0.034115
7,22,8,64,45056,90112,11264,4,8,0.902978,0.954384,0.547923,1.15698,0.004479,0.034166
8,22,8,64,45056,90112,11264,4,8,0.907502,0.905718,0.631611,1.14531,0.00448,0.034114
9,22,8,64,45056,90112,11264,4,8,0.906707,0.947023,0.506257,1.14328,0.00448,0.034114
10,22,8,64,45056,90112,11264,4,8,0.920209,0.953428,0.521716,1.31719,0.004479,0.030261
11,22,8,64,45056,90112,11264,4,8,0.929645,0.954371,0.478576,1.00828,0.004011,0.030052
12,22,8,64,45056,90112,11264,4,8,0.916116,0.942151,0.502534,1.01667,0.003958,0.030052
13,22,8,64,45056,90112,11264,4,8,0.937174,0.917282,0.559126,1.08901,0.003958,0.034167
14,22,8,64,45056,90112,11264,4,8,0.913009,0.902251,0.630085,1.03125,0.004479,0.031667
15,22,8,64,45056,90112,11264,4,8,0.927758,0.904214,0.588166,1.07172,0.004167,0.034479
